description,price,bioequivalent,image_url,chain,searched_drug
Tapsin Plus DÃ­a Paracetamol 650 mg SoluciÃ³n Oral 1 Sobre,660.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw1730f57e/images/large/72202-tapsin-plus-dia-paract-650-mg-solucion-oral-1-sobre.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Forte Paracetamol 650 mg 20 Comprimidos Recubiertos,2690.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw7a9a41e5/images/large/258320-tapsin-forte-comprimido-recubierto-20-unidades-paracetamol-650-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Periodo Pamabrom 25 mg 12 Comprimidos,1590.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwcec0a00b/images/large/259891-tapsin-periodo-alivia-el-dolor-y-deshincha-comprimido-12-unidades-paracetamol-25-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin 1000 SC Paracetamol 1000 mg 20 Comprimidos Recubiertos,6152.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwddc39161/images/large/383406-tapsin-1000-sc-paracetamol-1000-mg-20-comprimidos-recubiertos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Xumadol Paracetamol 1000 mg 20 Comprimidos,7912.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw7c103e30/images/large/266145-xumadol-comprimido-20-unidades-paracetamol-1000-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Doloten Tramadol 37,5 mg 30 Comprimidos Recubiertos",15192.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwd7534ef6/images/large/258403-doloten-comprimido-recubierto-30-unidades-tramadol-375-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastizol Compuesto Pseudoefedrina 30 mg/5 ml Jarabe 100 mL,9086.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwcd6cf0bc/images/large/9051-nastizol-compuesto-jarabe-100-ml-pseudoef-30-mg-5ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Desdol Clorzoxazona 300 mg 20 Comprimidos,7896.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw5253bd7d/images/large/27176-desdol-clorzoxazona-300-mg-20-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Brevex Paracetamol 300 mg 20 Comprimidos Recubiertos,11636.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw539f7e42/images/large/9113-brevex-comprimido-recubierto-20-unidades-clorzoxazona-300-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastizol Compuesto Pseudoefedrina 60 mg 10 Comprimidos,4921.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw897b6bd9/images/large/9088-nastizol-compuesto-comprimido-recubierto-10-unidades-pseudoef-60-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastizol DÃ­a-Noche Pseudoefedrina 60 mg 18 Comprimidos,3561.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw3742cfad/images/large/9212-nastizol-dia---noche-pseudoef-60-mg-18-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Flu Pseudoefedrina 30 mg Jarabe 100 mL,5290.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwa75724d1/images/large/268732-geniol-flu-jarabe-100-ml-pseudoef-30-mg-5ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Trio-Val Paracetamol 120 mg Gotas 15 mL,14423.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwf20f6b42/images/large/6105-trio-val-pseudoefedrina-75-mg-gotas-15-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Paracetamol 500 mg 16 Comprimidos,818.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw0e11d4d8/images/large/272241-paracetamol-500-mg-16-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Gesidol Infantil Paracetamol 120 mg / 5 mL Jarabe 100 mL,9231.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwa92fe122/images/large/ND.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Trio-Val Pseudoefedrina 30 mg SuspensiÃ³n Oral 100 mL,14159.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw88f428de/images/large/6058-trio-val-suspension-100-ml-pseudoef-30-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Zafin Tramadol 37,5 mg 28 Comprimidos Recubiertos",25511.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw7a242216/images/large/252758-zafin-comprimido-recubierto-28-unidades-tramadol-375-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Xumadol Paracetamol 1000 mg 20 Sobres Efervecente Granulado,8916.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwd3f38072/images/large/251075-xumadol-paracetamol-1000-mg-20-sobres-efervecente-granulado.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Nastizol Pediatrico Pseudoefedrina 7,5 mg / mL Gotas Orales 15 mL",11431.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwe35b0e6b/images/large/255611-nastizol-compuesto-pediatrico-(compositum)-gotas-orales-15-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Kitadol Infantil Paracetamol 100 mg Gotas 15 mL,3687.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw21c52e77/images/large/1355-kitadol-infantil-paracetamol-100-mg-gotas-15-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Cronotan Efervescente Tramadol Clorhidrato 37,5 mg Paracetamol 325 mg 20 Comprimidos",11992.0,paracetamol,"https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw138c99ff/images/large/541040-cronotan-efervescente-tramadol-clorhidrato-37,5-mg-paracetamol-325-mg-20-comprimidos-.jpg?sw=295&sh=295",Cruz Verde,paracetamol
Paracetamol 100 mg Gotas 15 mL,1927.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw94febf65/images/large/199085-paracetamol-100-mg-gotas-15-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Supracalm Paracetamol 1000 mg 20 Comprimidos Recubierto,10472.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwfba98bd6/images/large/87176-supracalm-comprimido-recubierto-20-unidades-paracetamol-1000-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Kenatrum Tramadol 37,5 mg Paracetamol 325 mg 30 Comprimidos Recubiertos",10990.0,paracetamol,"https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw90b57277/images/large/535496-kenatrum-tramadol-37,5-mg-paracetamol-325-mg-30-comprimidos-recubiertos.jpg?sw=295&sh=295",Cruz Verde,paracetamol
"Tramavolta 37,5/325 Tramadol 37,5 mg 30 Comprimidos",10516.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw06eaa240/images/large/292260-tramavolta-375325-tramadol-375-mg-30-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Dropol Paracetamol 1000 mg 20 Comprimidos,7726.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwede42067/images/large/288548-dropol-paracetamol-1000-mg-20-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Zaldiar Tramadol 37,5 mg 20 Comprimidos Recubiertos",26127.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw5ba3f1d3/images/large/19258-zaldiar-comprimido-recubierto-20-unidades-tramadol-375-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Kitadol Paracetamol 120 mg/5ml Jarabe 60 mL,9891.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwccdb43fc/images/large/1390-kitadol-jarabe-60-ml-paracetamol-120-mg-5ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Cronus Tramadol 37,5 mg 20 Comprimidos",18207.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwb723f257/images/large/251788-cronus-comprimido-20-unidades-tramadol-375-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Pediatrico Paracetamol 80 mg 16 Comprimidos,1861.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwa2c5db60/images/large/193095-geniol-pediatrico-comprimido-16-unidades-paracetamol-80-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Flu DÃ­a-Noche Pseudoefedrina 60 mg 20 Comprimidos,3190.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwde7705d7/images/large/254298-geniol-flu-dia-noche-comprimido-recubierto-20-unidades-pseudoef-60-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Sevedol Ãcido Acetilsalicilico 65 mg 12 Comprimidos,2455.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw07791154/images/large/276003-sevedol-comprimido-12-unidades-aas(aspirina)-65-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Congestex Paracetamol 400 mg 10 CÃ¡psulas,9407.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw42b81f3d/images/large/4160-congestex-paracetam-60-mg-10-capsulas.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin InstaFLU DN Paracetamol 500 mg Pseudoefedrina Clorhidrato 60 mg 12+6 Comprimidos,6063.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwd5ae0e19/images/large/255388-tapsin-instaflu-dn-paracetamol-500-mg-pseudoefedrina-clorhidrato-60-mg-12+6-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol NiÃ±os Paracetamol 100 mg / mL Gotas Orales 15 mL,3697.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw45544282/images/large/26011-panadol-ni%C3%B1os.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol NiÃ±os Paracetamol 160 mg / 5 mL Jarabe 60 mL,8151.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw085600af/images/large/26066-panadol-ni%C3%B1os.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Paracetamol Infantil Paracetamol 80 mg 100 Comprimidos,519.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwba4e1382/images/large/225007-paracetamol-infantil-paracetamol-80-mg-100-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin AnalgÃ©sico Paracetamol 400 mg 12 Comprimidos,1394.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw4214e101/images/large/72222-tapsin-analgesico-comprimido-12-unidades-paracetamol-400-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Trio-Val DÃ­a/Noche Pseudoefedrina 60 mg 20 Comprimidos,4990.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw3d4cc4c2/images/large/6256-trio-val-dia-noche-comprimido-20-unidades-pseudoef-60-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastul Pseudoef 60 mg 10 Comprimidos,5095.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw244db72c/images/large/12137-nastul-pseudoef-60-mg-10-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Paracetamol 125 mg 6 Supositorios,1267.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw2c91fded/images/large/199334-paracetamol-125-mg-6-supositorios.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Nocturno Paracetamol 500 mg 12 Comprimidos,1521.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw1ab5e6e8/images/large/72223-tapsin-nocturno-paracetamol-500-mg-12-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin AnalgÃ©sico Paracetamol 400 mg 6 Comprimidos,519.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwb6e88afd/images/large/72119-tapsin-analgesico-paracetamol-400-mg-600-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Kitadol Paracetamol 160 mg 15 Comprimidos,3159.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwdfa480d6/images/large/252676-kitadol-paracetamol-160-mg-15-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Pediatrico Paracetamol 80 mg 16 Comprimidos,2881.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw90dea7f1/images/large/26225-panadol-pediatrico-paracetamol-80-mg-16-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Advance Paracetamol 500 mg 48 Comprimidos,6621.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw89b45e4e/images/large/532006-panadol-advance-paracetamol-500-mg-48-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Noche Compuesto Antigripal Paracetamol 400 mg Noscapina 10 mg Clorfenamina 4 mg Polvo para Soluc.Oral 1 Sobre Sabor Limon / Miel / Jengibre,695.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw51a4a399/images/large/300604-tapsin-noche-compuesto-antigripal-polvo-sobre.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Kitadol Antigripal 18 Comprimidos Recubiertos DÃ­a/Noche (12 DÃ­a y 6 Noche),3775.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw73f814a0/images/large/544205-kitadol-antigripal-18-comprimidos-recubiertos-dianoche-12-dia-y-6-noche.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Forte Paracetamol 650 mg 30 Comprimidos Recibiertos con Tapa De Seguridad Childproof,3599.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwaadb86f2/images/large/299091-tapsin-forte-paracetamol-650-mg-30-comprimidos-recibiertos-con-tapa-de-seguridad-childproof.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Paracetamol 400 mg Cafeina 33 mg 30 Comprimidos con Tapa de Seguridad Childproof,2895.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw95a9cd9c/images/large/299186-tapsin-paracetamol-400-mg-cafeina-33-mg-30-comprimidos-con-tapa-de-seguridad-childproof.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Congestex Paracetam 15 mg/5ml Jarabe 120 mL,9671.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw8a9ac3b1/images/large/4067-congestex-paracetam-15-mg5ml-jarabe-120-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Dolider Ãcido Acetilsalicilico 65 mg 10 Comprimidos,3391.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw70c58914/images/large/41110-dolider-aas-65-mg-10-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Nocturno Paracetamol 500 mg 600 Comprimidos,607.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwb4f794d8/images/large/72198-tapsin-nocturno-paracetamol-500-mg-600-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin SC Paracetamol 1000 mg Polvo para Soluc. Oral Efervescente 1 Sobre Sabor Limon,6990.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw497d65e9/images/large/387700-tapsin-sc-paracetamol-1000-mg-polvo-efervescente-sobre-sabor-limon.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastigrip Antigripal DÃ­a-Noche Paracetamol 300 mg 18 Comprimidos,2103.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw5478cf37/images/large/272695-nastigrip-antigripal-dia-noche-comprimido-18-unidades-paracetamol-300-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Advance Paracetamol 500 mg 12 Comprimidos,2983.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw2716ebd9/images/large/399853-panadol-advance.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Dia Compuesto Antigripal Paracetamol 400 mg Noscapina 10 mg Cafeina 33 mg Polvo para Soluc.Oral 1 Sobre Sabor Limon / Miel / Jengibre,669.0,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw1f9a5a75/images/large/300607-tapsin-dia-compuesto-antigripal-polvo-sobre.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Actron Ra Ibuprofeno 200 mg 10 CÃ¡psulas Blandas,1890.0,ibuprofeno,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw014cdc37/images/large/255885-actronra-ibuprofeno-200-mg-10-capsulas-blandas.jpg?sw=295&sh=295,Cruz Verde,ibuprofeno
Pyriped Forte Ibuprofeno 200 mg / 5 mL SuspensiÃ³n Oral 100 mL,4890.0,ibuprofeno,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw5f75b4ab/images/large/268737-pyriped-forte-jarabe-100-ml-ibuprofeno-200-mg-5ml.jpg?sw=295&sh=295,Cruz Verde,ibuprofeno
Niofen Forte Ibuprofeno 200 mg/5ml SuspensiÃ³n PediÃ¡trica 120 mL,5183.0,ibuprofeno,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw6bb804ec/images/large/4397-niofen-forte-suspension-120-ml-ibuprofeno-200-mg-5ml.jpg?sw=295&sh=295,Cruz Verde,ibuprofeno
Dolorub Parche DÃ©rmico 18x13 cm 1 Parche,2690.0,ibuprofeno,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw5011682c/images/large/292084-dolorub-parche-dermico-18x13-cm-1-unidades.jpg?sw=295&sh=295,Cruz Verde,ibuprofeno
Pyriped Ibuprofeno 400 mg 20 CÃ¡psulas Blandas,3752.0,ibuprofeno,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw30a105cf/images/large/263909-pyriped-capsulas-blandas-20-unidades-ibuprofeno-400-mg.jpg?sw=295&sh=295,Cruz Verde,ibuprofeno
Ibuprofeno 200 mg 20 Comprimidos,1267.0,ibuprofeno,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwb5309704/images/large/199297-ibuprofeno-200-mg-20-comprimidos.jpg?sw=295&sh=295,Cruz Verde,ibuprofeno
